Landscape Category,Landscape Number,"RF Parameters [max trees, max depth, max leaf nodes]",Binary Polymers Score,Terpolymer Test Score,Combined Test Score
Original Only,0,"[16, 16, 128]",0.7545454545454545,0.9629629629629629,0.8429319371727748
Original Only,1,"[16, 16, 128]",0.7272727272727273,0.9382716049382716,0.8167539267015707
Original Only,2,"[16, 16, 128]",0.7545454545454545,0.9629629629629629,0.8429319371727748
Original Only,3,"[16, 16, 128]",0.7181818181818181,0.9753086419753086,0.8272251308900523
Original Only,4,"[16, 16, 128]",0.7727272727272727,0.9629629629629629,0.8534031413612565
Original and Ter,0,"[16, 16, 128]",0.6636363636363637,0.9506172839506173,0.7853403141361257
Original and Ter,1,"[16, 16, 128]",0.6636363636363637,0.9629629629629629,0.7905759162303665
Original and Ter,2,"[16, 16, 128]",0.7090909090909091,0.9629629629629629,0.8167539267015707
Original and Ter,3,"[16, 16, 128]",0.7090909090909091,0.9506172839506173,0.8115183246073299
Original and Ter,4,"[16, 16, 128]",0.7090909090909091,0.9506172839506173,0.8115183246073299
Reduced Only,0,"[64, 256, 8]",0.8461538461538461,0.9506172839506173,0.9166666666666666
Reduced Only,1,"[64, 256, 8]",0.8461538461538461,0.9629629629629629,0.925
Reduced Only,2,"[64, 256, 8]",0.8461538461538461,0.9629629629629629,0.925
Reduced Only,3,"[64, 256, 8]",0.8461538461538461,0.9629629629629629,0.925
Reduced Only,4,"[64, 256, 8]",0.8717948717948718,0.9506172839506173,0.925
Reduced and Ter,0,"[64, 256, 8]",0.8205128205128205,0.9506172839506173,0.9083333333333333
Reduced and Ter,1,"[64, 256, 8]",0.8205128205128205,0.9506172839506173,0.9083333333333333
Reduced and Ter,2,"[64, 256, 8]",0.8717948717948718,0.9629629629629629,0.9333333333333333
Reduced and Ter,3,"[64, 256, 8]",0.8205128205128205,0.9506172839506173,0.9083333333333333
Reduced and Ter,4,"[64, 256, 8]",0.8461538461538461,0.9506172839506173,0.9166666666666666
