,SMILES LIST,Ratio List,Biodegradability
0,"['C(=O)CC(=O)', 'OCC=CCO']","[1, 1]",1
1,"['C(=O)C(=O)', 'OCCCCCCCCCCO']","[1, 1]",1
2,"['C(=O)CCCCCCCCC(=O)', 'OCCSCCO']","[1, 1]",1
3,"['C(=O)CCCCCCCCC(=O)', 'OCC=CCO']","[1, 1]",0
4,"['C(=O)CCC(=O)', 'OC(CO1)C2C1C(CO2)O']","[1, 1]",1
5,"['C(=O)CCCCC(=O)', 'OCC=CCO']","[1, 1]",0
6,"['C(=O)', 'OCC(CC)(CC)CO']","[1, 1]",0
7,"['C(=O)', 'OCC(CC(C1)C2C3)C1C2CC3CO']","[1, 1]",0
8,"['C(=O)', 'OC(CC1)CCC1O']","[1, 1]",0
9,"['C(=O)', 'OCC#CCO']","[1, 1]",1
10,"['C(=O)', 'OCCCCO']","[1, 1]",1
11,"['C(=O)COCC(=O)', 'OCCCCCCCCCO']","[1, 1]",1
12,"['C(=O)CSCC(=O)', 'OCCCCCCCCCCO']","[1, 1]",1
13,"['C(=O)CN(C)CC(=O)', 'OCCC(C)CCO']","[1, 1]",0
14,"['C(=O)CCCCC(=O)', 'OCC(C)(C)C(C(C)C)O']","[1, 1]",0
15,"['C(=O)CCCCC(=O)', 'OCC(C)(C)CO']","[1, 1]",0
16,"['C(=O)CCC(=O)', 'OCC(C)CO']","[1, 1]",1
17,"['C(=O)CCC(=O)', 'OCC(CC)(CCCC)CO']","[1, 1]",0
18,"['C(=O)CN(C)CC(=O)', 'OCC(CC)(CCCC)CO']","[1, 1]",0
19,"['C(=O)CSCC(=O)', 'OCC(CC1)CCC1CO']","[1, 1]",1
20,"['C(=O)CSCC(=O)', 'OCC(CC)(CCCC)CO']","[1, 1]",0
21,"['C(=O)COCC(=O)', 'OCC(C)CO']","[1, 1]",1
22,"['C(=O)C(CC1)CCC1C(=O)', 'OCC(C)(C)CO']","[1, 1]",0
23,"['C(=O)C(CC1)CCC1C(=O)', 'OCC(C)CO']","[1, 1]",1
24,"['C(=O)CCCCCC(=O)', 'OCCO']","[1, 1]",1
25,"['C(=O)CCC(=O)', 'OCCO']","[1, 1]",0
26,"['C(=O)CCC(=O)', 'OCCCCCCCCCO']","[1, 1]",0
27,"['C(=O)CCC(=O)', 'OCCCCCCCCCCO']","[1, 1]",0
28,"['C(=O)CCC(=O)', 'OCCC(C)CCO']","[1, 1]",1
29,"['C(=O)CCCC(=O)', 'OCCCCCCCCCCO']","[1, 1]",0
30,"['C(=O)CCCC(=O)', 'OCCCCCO']","[1, 1]",1
31,"['C(=O)CCCC(=O)', 'OCCC(C)CCO']","[1, 1]",1
32,"['C(=O)CCCC(=O)', 'OCCCCCCCCCO']","[1, 1]",0
33,"['C(=O)CCCCCCCC(=O)', 'OCCCCCCCCCO']","[1, 1]",0
34,"['C(=O)CCCCC(=O)', 'OCCCCCCCCCO']","[1, 1]",0
35,"['C(=O)C(CC1)CCC1C(=O)', 'OCCCCCCO']","[1, 1]",0
36,"['C(=O)CCCCCCCCC(=O)', 'OC(CC1)CCC1C(C)(C)C(CC2)CCC2O']","[1, 1]",0
37,"['C(=O)CCCCCC(=O)', 'OCCCCCCCCO']","[1, 1]",1
38,"['C(=O)CCCCCCCCC(=O)', 'OCCCCCCCCCO']","[1, 1]",0
39,"['C(=O)CCCCCCCCC(=O)', 'OCCCCCCCCCCO']","[1, 1]",0
40,"['C(=O)CCCCCC(=O)', 'OCCOCCO']","[1, 1]",1
41,"['C(=O)C(CC1)CCC1C(=O)', 'OCCOCCO']","[1, 1]",1
42,"['C(=O)C(CC1)CCC1C(=O)', 'OC(C)COC(C)COC(C)CO']","[1, 1]",1
43,"['C(=O)CCCCC(=O)', 'OCC(C)OCC(C)O']","[1, 1]",1
44,"['C(=O)CCCC(=O)', 'OC(CC1)CCC1O']","[1, 1]",0
45,"['C(=O)CCCCCC(=O)', 'OCCC(C)CCO']","[1, 1]",1
46,"['C(=O)CCCCCCCCC(=O)', 'OC(CC1)CCC1O']","[1, 1]",1
47,"['C(=O)CN(C)CC(=O)', 'OCC(CC)(CC)CO']","[1, 1]",1
48,"['C(=O)CCCC(=O)', 'OCC(CC(C1)C2C3)C1C2CC3CO']","[1, 1]",1
49,"['C(=O)CSCC(=O)', 'OCC(C)(C)CO']","[1, 1]",1
50,"['C(=O)COCCOCC(=O)', 'OC(CC1)CCC1C(C)(C)C(CC2)CCC2O']","[1, 1]",1
51,"['C(=O)CCCC(CCCCCC)O', 'C(=O)CCCCC(CCCC)O']","[2, 1]",0
52,"['C(=O)CC(C)O', 'C(=O)CCCCC(CCCC)O']","[2, 1]",0
53,"['C(=O)CCCC(CCCCCCC)O', 'C(=O)CCCCC(CCCC)O']","[2, 1]",0
54,"['C(=O)CC(C)O', 'C(=O)CCCCCO']","[2, 1]",1
55,"['C(=O)CCCCO', 'C(=O)CCCCO']","[2, 1]",1
56,"['C(=O)CCCCCCCCCCCCCCO', 'C(=O)CCCCO']","[2, 1]",0
57,"['C(=O)CCCCO', 'C(=O)CCO']","[2, 1]",1
58,"['C(=O)C(C)OC(=O)C(C)O', 'C(=O)CCCC(CCCCCC)O']","[2, 1]",1
59,"['C(=O)COC(=O)CO', 'C(=O)CCCCC(CCCC)O']","[2, 1]",1
60,"['C(=O)COC(=O)CO', 'C(=O)CCCCCCCCCCCCCCO']","[2, 1]",1
61,"['C(=O)COC(=O)CO', 'C(=O)CCO']","[2, 1]",0
